Time	OH(C2w)	Time	OH(C2wo)	Time	HO2(C2w)	Time	HO2(C2wo)	Time	NO3(C2w)	Time	NO3(C2wo)	Time	aOH(C2w)	Time	aOH(C2wo)	Time	aHO2(C2w)	Time	aHO2(C2wo)	Time	aNO3(C2w)	Time	aNO3(C2wo)
23.99194	9961.89	24.00417	26718.7	23.99194	102869	24.00417	2.92E+07	23.99194	2.44E+07	24.00417	1.41E+08	23.99194	1.88E-14	24.00417	9.63E-15	24.04194	3.81E-10	24.00417	1.12E-09	23.99194	5.51E-13	24.00417	7.05E-13
24.15861	9930.13	24.17083	26749.8	24.15861	104174	24.17083	2.93E+07	24.15861	2.43E+07	24.17083	1.40E+08	24.15861	1.86E-14	24.17083	9.56E-15	24.20861	3.94E-10	24.17083	1.12E-09	24.15861	5.49E-13	24.17083	7.03E-13
24.32528	9885.06	24.3375	26776	24.32528	105530	24.3375	2.93E+07	24.32528	2.43E+07	24.3375	1.39E+08	24.32528	1.84E-14	24.3375	9.50E-15	24.37528	4.05E-10	24.3375	1.12E-09	24.32528	5.48E-13	24.3375	7.00E-13
24.49194	9830.2	24.50417	26797.8	24.49194	106959	24.50417	2.93E+07	24.49194	2.42E+07	24.50417	1.38E+08	24.49194	1.82E-14	24.50417	9.43E-15	24.54194	4.15E-10	24.50417	1.12E-09	24.49194	5.46E-13	24.50417	6.98E-13
24.65861	9769.47	24.67083	26815.4	24.65861	108478	24.67083	2.93E+07	24.65861	2.41E+07	24.67083	1.37E+08	24.65861	1.79E-14	24.67083	9.37E-15	24.70861	4.23E-10	24.67083	1.12E-09	24.65861	5.44E-13	24.67083	6.95E-13
24.82528	9702.75	24.8375	26829	24.82528	110092	24.8375	2.94E+07	24.82528	2.40E+07	24.8375	1.36E+08	24.82528	1.77E-14	24.8375	9.30E-15	24.87528	4.29E-10	24.8375	1.12E-09	24.82528	5.42E-13	24.8375	6.93E-13
24.84194	9695.94	25.00417	26839	24.84194	110256	25.00417	2.94E+07	24.84194	2.40E+07	25.00417	1.36E+08	24.84194	1.76E-14	25.00417	9.24E-15	24.95861	4.31E-10	25.00417	1.12E-09	24.84194	5.41E-13	25.00417	6.91E-13
25.00861	17153.6	25.17083	26845.6	25.00861	1.13E+07	25.17083	2.94E+07	25.00861	5.66E+07	25.17083	1.35E+08	25.00861	5.63E-15	25.17083	9.18E-15	25.12528	1.33E-09	25.17083	1.12E-09	25.00861	4.33E-13	25.17083	6.88E-13
25.09194	20039.4	25.3375	26848.9	25.09194	1.81E+07	25.3375	2.94E+07	25.09194	8.80E+07	25.3375	1.34E+08	25.09194	5.53E-15	25.3375	9.12E-15	25.20861	1.12E-09	25.3375	1.12E-09	25.09194	5.30E-13	25.3375	6.86E-13
25.25861	20814.9	25.50417	26849.3	25.25861	2.05E+07	25.50417	2.94E+07	25.25861	9.79E+07	25.50417	1.33E+08	25.25861	5.54E-15	25.50417	9.06E-15	25.37528	1.22E-09	25.50417	1.13E-09	25.25861	6.15E-13	25.50417	6.84E-13
25.42528	21167.9	25.67083	26846.7	25.42528	2.16E+07	25.67083	2.95E+07	25.42528	9.82E+07	25.67083	1.32E+08	25.42528	5.41E-15	25.67083	9.00E-15	25.54194	1.29E-09	25.67083	1.13E-09	25.42528	6.28E-13	25.67083	6.82E-13
