Time	Gly(C2wo)	increasing(KH)	Time	wC2(C2wo)	increasing(KH)	Time	C2(C2wo)	increasing(KH)
24.00417	0.22898	172.31931	24.00417	67.91105	113.00472	24.00417	108.54449	109.95862
24.17083	0.23114	173.52367	24.17083	68.23029	113.76347	24.17083	107.88923	109.33099
24.3375	0.23333	174.74036	24.3375	68.5491	114.52139	24.3375	107.25174	108.72164
24.50417	0.23553	175.96758	24.50417	68.86682	115.27923	24.50417	106.63266	108.13072
24.67083	0.23775	177.20589	24.67083	69.18408	116.03706	24.67083	106.0308	107.55746
24.8375	0.23999	178.45515	24.8375	69.50021	116.79499	24.8375	105.44621	107.00147
25.00417	0.24225	179.71456	25.00417	69.81561	117.553	25.00417	104.87809	106.46207
25.17083	0.24452	180.98498	25.17083	70.13029	118.31093	25.17083	104.32625	105.93961
25.3375	0.24681	182.26461	25.3375	70.44429	119.06886	25.3375	103.79052	105.43305
25.50417	0.24911	183.55496	25.50417	70.75734	119.82696	25.50417	103.2697	104.94154
25.67083	0.25143	184.85602	25.67083	71.06981	120.58507	25.67083	102.76442	104.46549
25.8375	0.25377	186.16598	25.8375	71.3815	121.3441	25.8375	102.27361	104.00462
26.00417	0.25612	187.48463	26.00417	71.69274	122.1023	26.00417	101.79737	103.55765
26.17083	0.25849	188.81305	26.17083	72.00298	122.86151	26.17083	101.33534	103.12485
26.3375	0.26087	190.15195	26.3375	72.31241	123.62072	26.3375	100.88676	102.70617
26.50417	0.26327	191.49852	26.50417	72.62147	124.38012	26.50417	100.45177	102.30079
26.67083	0.26568	192.85463	26.67083	72.92943	125.1385	26.67083	100.02992	101.90835
26.8375	0.26811	194.21934	26.8375	73.23709	125.89891	26.8375	99.62044	101.5289
27.00417	0.27055	195.59266	27.00417	73.54398	126.65849	27.00417	99.2238	101.16164
27.17083	0.27301	196.97319	27.17083	73.85009	127.41899	27.17083	98.83908	100.80636
27.3375	0.27548	198.36319	27.3375	74.15546	128.17866	27.3375	98.46652	100.46312
27.50417	0.27796	199.76156	27.50417	74.46053	128.93943	27.50417	98.10576	100.13203
27.67083	0.28046	201.16853	27.67083	74.7645	129.7002	27.67083	97.75588	99.81151
27.8375	0.28297	202.58233	27.8375	75.06812	130.46199	27.8375	97.41743	99.50247
28.00417	0.28549	204.00482	28.00417	75.37132	131.22396	28.00417	97.08956	99.20406
28.17083	0.28803	205.4353	28.17083	75.67343	131.9851	28.17083	96.7727	98.9163
28.3375	0.29058	206.87227	28.3375	75.97522	132.74808	28.3375	96.46607	98.63844
28.50417	0.29315	208.31826	28.50417	76.27629	133.51023	28.50417	96.16946	98.37108
28.67083	0.29573	209.77044	28.67083	76.57666	134.27257	28.67083	95.88255	98.11298
