Time	H2O2(C2w)	Time	H2O2(C2wo)	Time	O3(C2w)	Time	O3(C2wo)	Time	aH2O2(C2w)	Time	aH2O2(C2wo)	Time	aO3(C2w)	Time	aO3(C2wo)
23.99194	0.0023	24.00417	1.47678	23.99194	94.18101	24.00417	95.30063	23.99194	2.23E-07	24.00417	2.02E-04	23.99194	1.18E-09	24.00417	1.05E-09
24.15861	0.00227	24.17083	1.46905	24.15861	93.78044	24.17083	94.9714	24.15861	2.17E-07	24.17083	2.01E-04	24.15861	1.17E-09	24.17083	1.05E-09
24.32528	0.00225	24.3375	1.46138	24.32528	93.38515	24.3375	94.64365	24.32528	2.11E-07	24.3375	2.00E-04	24.32528	1.17E-09	24.3375	1.04E-09
24.49194	0.00222	24.50417	1.45375	24.49194	92.99302	24.50417	94.31738	24.49194	2.05E-07	24.50417	1.99E-04	24.49194	1.16E-09	24.50417	1.04E-09
24.65861	0.00219	24.67083	1.4462	24.65861	92.603	24.67083	93.9921	24.65861	2.65E-07	24.67083	1.98E-04	24.65861	1.16E-09	24.67083	1.04E-09
24.82528	0.00216	24.8375	1.4387	24.82528	92.21457	24.8375	93.6688	24.82528	2.61E-07	24.8375	1.97E-04	24.82528	1.15E-09	24.8375	1.03E-09
24.84194	0.00216	25.00417	1.43125	24.84194	92.17604	25.00417	93.34648	24.84194	2.61E-07	25.00417	1.96E-04	24.84194	1.15E-09	25.00417	1.03E-09
25.00861	0.00848	25.17083	1.42386	25.00861	91.85252	25.17083	93.02564	25.00861	1.34E-06	25.17083	1.95E-04	25.00861	1.02E-09	25.17083	1.03E-09
25.09194	0.01054	25.3375	1.41653	25.09194	91.68997	25.3375	92.70579	25.09194	1.35E-06	25.3375	1.94E-04	25.09194	9.46E-10	25.3375	1.02E-09
25.25861	0.01527	25.50417	1.40925	25.25861	85.44844	25.50417	92.38742	25.25861	2.10E-06	25.50417	1.93E-04	25.25861	9.42E-10	25.50417	1.02E-09
25.42528	0.0212	25.67083	1.40203	25.42528	85.14389	25.67083	92.07004	25.42528	2.91E-06	25.67083	1.92E-04	25.42528	9.39E-10	25.67083	1.02E-09
25.59194	0.02716	25.8375	1.39486	25.59194	84.84132	25.8375	91.75414	25.59194	3.72E-06	25.8375	1.91E-04	25.59194	9.35E-10	25.8375	1.01E-09
