Time	Sulfate(C2w)	Time	Sulfate(C2wo)	Time	Nitrate(C2w)	Time	Nitrate(C2wo)	Time	Ammonium(C2w)	Time	Ammonium(C2wo)
23.99194	37.10447	24.00417	10.84987	23.99194	32.38043	24.00417	26.61693	23.99194	22.65897	24.00417	10.36593
24.15861	37.37595	24.17083	10.85677	24.15861	32.59625	24.17083	26.77846	24.15861	22.8205	24.17083	10.41439
24.32528	37.63553	24.3375	10.86366	24.32528	32.81232	24.3375	26.93683	24.32528	22.97934	24.3375	10.462
24.49194	37.88947	24.50417	10.87059	24.49194	33.02864	24.50417	27.09222	24.49194	23.13692	24.50417	10.50869
24.65861	38.14063	24.67083	10.87749	24.65861	33.24496	24.67083	27.24508	24.65861	23.29379	24.67083	10.55464
24.82528	38.39018	24.8375	10.88446	24.82528	33.46171	24.8375	27.3952	24.82528	23.44993	24.8375	10.59984
24.84194	38.41516	25.00417	10.89141	24.84194	33.48335	25.00417	27.54309	24.84194	23.46558	25.00417	10.6443
25.00861	38.48206	25.17083	10.89837	25.00861	33.00247	25.17083	27.68857	25.00861	22.3857	25.17083	10.68811
25.09194	38.48624	25.3375	10.90533	25.09194	32.06626	25.3375	27.83206	25.09194	22.03686	25.3375	10.73133
25.25861	38.50562	25.50417	10.91233	25.25861	31.21417	25.50417	27.9735	25.25861	21.42882	25.50417	10.77396
25.42528	38.52256	25.67083	10.91933	25.42528	30.46003	25.67083	28.11302	25.42528	20.90466	25.67083	10.81606
25.59194	38.53664	25.8375	10.92637	25.59194	29.81271	25.8375	28.25087	25.59194	20.46906	25.8375	10.85764
25.75861	38.5482	26.00417	10.93334	25.75861	29.28587	26.00417	28.38698	25.75861	20.12004	26.00417	10.89877
25.92528	38.55747	26.17083	10.9404	25.92528	28.879	26.17083	28.52167	25.92528	19.8495	26.17083	10.93943
26.09194	38.56478	26.3375	10.94743	26.09194	28.58184	26.3375	28.65481	26.09194	19.647	26.3375	10.97971
26.25861	38.57052	26.50417	10.95448	26.25861	28.3789	26.50417	28.78664	26.25861	19.50084	26.50417	11.01951
26.42528	38.57522	26.67083	10.96151	26.42528	28.25364	26.67083	28.91705	26.42528	19.39968	26.67083	11.059
26.59194	38.57888	26.8375	10.96855	26.59194	28.18989	26.8375	29.04628	26.59194	19.3338	26.8375	11.09817
26.75861	38.58183	27.00417	10.97566	26.75861	28.17378	27.00417	29.17433	26.75861	19.29492	27.00417	11.13693
26.92528	38.58434	27.17083	10.98268	26.92528	28.19373	27.17083	29.30133	26.92528	19.2762	27.17083	11.17537
27.09194	38.58646	27.3375	10.98975	27.09194	28.24062	27.3375	29.42733	27.09194	19.27242	27.3375	11.21355
27.25861	38.58828	27.50417	10.99685	27.25861	28.3074	27.50417	29.55216	27.25861	19.27998	27.50417	11.25146
27.42528	38.58989	27.67083	11.00394	27.42528	28.38867	27.67083	29.67624	27.42528	19.29546	27.67083	11.28904
27.59194	38.59145	27.8375	11.01103	27.59194	28.48029	27.8375	29.79946	27.59194	19.31706	27.8375	11.32645
27.75861	38.59279	28.00417	11.01814	27.75861	28.57934	28.00417	29.92168	27.75861	19.34262	28.00417	11.36351
27.92528	38.59443	28.17083	11.02523	27.92528	28.6836	28.17083	30.0431	27.92528	19.37142	28.17083	11.40045
28.09194	38.59573	28.3375	11.03232	28.09194	28.79145	28.3375	30.16377	28.09194	19.40256	28.3375	11.43711
28.25861	38.59717	28.50417	11.03942	28.25861	28.90177	28.50417	30.28376	28.25861	19.43496	28.50417	11.47358
28.42528	38.59848	28.67083	11.04657	28.42528	29.01364	28.67083	30.40289	28.42528	19.46862	28.67083	11.5098
28.59194	38.59978	28.8375	11.05366	28.59194	29.12657	28.8375	30.52158	28.59194	19.50264	28.8375	11.54589
