TIME	Aqua: aN2O5 -> NO2p + NO3m	Aqua: NO2p + [aH2O] -> NO3m + Hp	Gas: OH + NO2 -> HNO3	Aqua: aHNO4 + HSO3m -> HSO4m + Hp + NO3m	other sources	other sinks
24.0278	1.0274E-12	1.0274E-12	5.62452E-15	5.70499E-14	4.29368E-13	-1.43882E-15
24.1944	1.0251E-12	1.0251E-12	5.65902E-15	5.65094E-14	4.3125E-13	-1.45673E-15
24.3611	1.02288E-12	1.02288E-12	5.69284E-15	5.60387E-14	4.33213E-13	-1.48166E-15
24.5278	1.02086E-12	1.02086E-12	5.72585E-15	5.56614E-14	4.35049E-13	-1.5068E-15
24.6944	1.01906E-12	1.01906E-12	5.75816E-15	5.53733E-14	4.36671E-13	-1.53121E-15
24.8611	1.01746E-12	1.01746E-12	5.78992E-15	5.51633E-14	4.38075E-13	-1.55223E-15
24.9444	1.01673E-12	1.01673E-12	5.80563E-15	5.50848E-14	4.38705E-13	-1.56227E-15
25.1111	1.06159E-12	1.06159E-12	1.24358E-14	6.5714E-17	1.46004E-13	-3.56949E-17
25.1944	1.05695E-12	1.05695E-12	1.37386E-14	4.00776E-17	1.40755E-13	-2.21043E-15
25.3611	1.18822E-12	1.18822E-12	1.38668E-14	3.09483E-17	1.50689E-13	-3.21175E-15
25.5278	1.18046E-12	1.18046E-12	1.39349E-14	2.55785E-17	1.49918E-13	-3.48153E-15
25.6944	1.17033E-12	1.17033E-12	1.3992E-14	2.25907E-17	1.49179E-13	-3.68521E-15
25.8611	1.16044E-12	1.16044E-12	1.40399E-14	0	1.48107E-13	-3.82985E-15
26.0278	1.15067E-12	1.15067E-12	1.40793E-14	1.83268E-17	1.48039E-13	-3.93957E-15
26.1944	1.14116E-12	1.14116E-12	1.41109E-14	1.72952E-17	1.47498E-13	-4.02236E-15
26.3611	1.13195E-12	1.13195E-12	1.41357E-14	1.65972E-17	1.46971E-13	-4.084E-15
26.5278	1.12308E-12	1.12308E-12	1.41546E-14	1.6127E-17	1.46456E-13	-4.12913E-15
26.6944	1.11458E-12	1.11458E-12	1.41688E-14	1.58866E-17	1.45954E-13	-4.16135E-15
26.8611	1.10646E-12	1.10646E-12	1.41793E-14	1.57794E-17	1.45461E-13	-4.18355E-15
27.0278	1.09872E-12	1.09872E-12	1.4187E-14	1.58329E-17	1.44977E-13	-4.1979E-15
27.1944	1.09136E-12	1.09136E-12	1.41924E-14	1.55143E-17	1.44492E-13	-4.2062E-15
27.3611	1.08435E-12	1.08435E-12	1.41962E-14	1.60469E-17	1.44049E-13	-4.20977E-15
27.5278	1.07769E-12	1.07769E-12	1.41989E-14	1.62663E-17	1.436E-13	-4.20968E-15
27.6944	1.07136E-12	1.07136E-12	1.42007E-14	1.65325E-17	1.43161E-13	-4.20673E-15
27.8611	1.06534E-12	1.06534E-12	1.42018E-14	1.68319E-17	1.42732E-13	-4.20157E-15
28.0278	1.05962E-12	1.05962E-12	1.42027E-14	1.7166E-17	1.42309E-13	-4.19469E-15
28.1944	1.05418E-12	1.05418E-12	1.42032E-14	1.75176E-17	1.41901E-13	-4.18647E-15
28.3611	1.04901E-12	1.04901E-12	1.42037E-14	1.78925E-17	1.41498E-13	-4.17722E-15
28.5278	1.04409E-12	1.04409E-12	1.42042E-14	1.82865E-17	1.41103E-13	-4.16716E-15
28.6944	1.03941E-12	1.03941E-12	1.42047E-14	1.86929E-17	1.40717E-13	-4.15649E-15
28.8611	1.03495E-12	1.03495E-12	1.42052E-14	1.91117E-17	1.40337E-13	-4.14533E-15
29.0278	9.65552E-13	9.65552E-13	1.4265E-14	1.96234E-17	1.28023E-13	-3.81534E-15
29.1944	6.87318E-13	6.87318E-13	1.64056E-14	2.41671E-17	8.98462E-14	-3.02053E-15
29.3611	4.81275E-13	4.81275E-13	2.43673E-14	3.80862E-17	6.45008E-14	-3.31786E-15
29.5278	3.64982E-13	3.64982E-13	3.62078E-14	5.01667E-17	5.09109E-14	-4.37387E-15
29.6944	2.97363E-13	2.97363E-13	4.96991E-14	5.76023E-17	1.95575E-14	-1.43827E-15
29.8611	2.55242E-13	2.55242E-13	6.6414E-14	6.56903E-17	3.80505E-14	-6.44245E-15
30.0278	2.27141E-13	2.27141E-13	8.67254E-14	7.51129E-17	3.46904E-14	-7.63736E-15
30.1944	2.07368E-13	2.07368E-13	1.10345E-13	8.55831E-17	3.25311E-14	-9.13044E-15
30.3611	1.92864E-13	1.92864E-13	1.37018E-13	9.68521E-17	3.12708E-14	-1.09146E-14
30.5278	1.81864E-13	1.81864E-13	1.66556E-13	1.08806E-16	3.07014E-14	-1.29471E-14
30.6944	1.73294E-13	1.73294E-13	1.98795E-13	1.21428E-16	3.06833E-14	-1.51848E-14
30.8611	1.66459E-13	1.66459E-13	2.33562E-13	1.34704E-16	3.11279E-14	-1.75906E-14
31.0278	1.60897E-13	1.60897E-13	2.70656E-13	1.48598E-16	3.19747E-14	-2.01325E-14
31.1944	1.6581E-13	1.6581E-13	3.09843E-13	0	2.09096E-14	-2.27825E-14
31.3611	1.52401E-13	1.52401E-13	3.50854E-13	1.78102E-16	3.47248E-14	-2.55163E-14
31.5278	1.49069E-13	1.49069E-13	3.93389E-13	1.93615E-16	3.65773E-14	-2.83117E-14
31.6944	1.46168E-13	1.46168E-13	4.37117E-13	2.09558E-16	3.87228E-14	-3.11492E-14
31.8611	1.43602E-13	1.43602E-13	4.81687E-13	2.25862E-16	4.11451E-14	-3.40105E-14
32.0278	1.41298E-13	1.41298E-13	5.26728E-13	2.42455E-16	4.38285E-14	-3.68793E-14
32.1944	1.39199E-13	1.39199E-13	5.71863E-13	2.5926E-16	4.67566E-14	-3.97401E-14
32.3611	1.3726E-13	1.3726E-13	6.16711E-13	2.762E-16	4.99117E-14	-4.25794E-14
32.5278	1.35448E-13	1.35448E-13	6.60893E-13	2.93189E-16	5.32769E-14	-4.53813E-14
32.6944	1.33734E-13	1.33734E-13	7.04046E-13	3.10147E-16	5.68298E-14	-4.81358E-14
32.8611	1.32098E-13	1.32098E-13	7.45823E-13	3.2686E-16	6.05438E-14	-5.083E-14
33.0278	1.30524E-13	1.30524E-13	7.85902E-13	3.43649E-16	6.44137E-14	-5.34527E-14
33.1944	1.29001E-13	1.29001E-13	8.23993E-13	3.60034E-16	6.83983E-14	-5.59933E-14
33.3611	1.27519E-13	1.27519E-13	8.59839E-13	3.76078E-16	7.24792E-14	-5.84416E-14
33.5278	1.26074E-13	1.26074E-13	8.93222E-13	3.91714E-16	7.66323E-14	-6.07882E-14
33.6944	1.24663E-13	1.24663E-13	9.23966E-13	4.06877E-16	8.08335E-14	-6.30243E-14
33.8611	1.23285E-13	1.23285E-13	9.51934E-13	4.21512E-16	8.50593E-14	-6.51414E-14
34.0278	1.21941E-13	1.21941E-13	9.77032E-13	4.35568E-16	8.9287E-14	-6.7132E-14
34.1944	1.20633E-13	1.20633E-13	9.99205E-13	4.49004E-16	9.34953E-14	-6.89889E-14
34.3611	1.19365E-13	1.19365E-13	1.01844E-12	4.6178E-16	9.76636E-14	-7.07055E-14
34.5278	1.18141E-13	1.18141E-13	1.03474E-12	4.73873E-16	1.01773E-13	-7.2276E-14
34.6944	1.16967E-13	1.16967E-13	1.04817E-12	4.85247E-16	1.05806E-13	-7.3695E-14
34.8611	1.15847E-13	1.15847E-13	1.05879E-12	4.95897E-16	1.09746E-13	-7.49579E-14
35.0278	1.14789E-13	1.14789E-13	1.06671E-12	5.05808E-16	1.13578E-13	-7.60606E-14
35.0833	1.14384E-13	1.14384E-13	1.06914E-12	5.09563E-16	1.15077E-13	-7.6456E-14
35.25	1.94166E-13	1.94166E-13	8.64573E-13	0	1.30241E-13	-5.72169E-14
35.3333	1.37339E-13	1.37339E-13	1.55182E-13	2.5367E-13	6.45375E-13	-6.10461E-14
35.5	1.68265E-13	1.68265E-13	1.58676E-13	2.82132E-13	3.86504E-13	-5.8142E-14
35.6667	1.75943E-13	1.75943E-13	1.63728E-13	3.34582E-13	3.50792E-13	-5.67165E-14
35.8333	1.81251E-13	1.81251E-13	1.68385E-13	3.71143E-13	3.38869E-13	-5.65247E-14
36	1.85969E-13	1.85969E-13	1.72597E-13	3.99699E-13	3.33354E-13	-5.64754E-14
36.1667	1.90437E-13	1.90437E-13	1.76325E-13	4.22892E-13	3.30261E-13	-5.64048E-14
36.3333	1.94775E-13	1.94775E-13	1.79504E-13	4.41049E-13	3.27998E-13	-5.62693E-14
36.5	1.99053E-13	1.99053E-13	1.82082E-13	4.54261E-13	3.25797E-13	-5.60486E-14
36.6389	2.02041E-13	2.02041E-13	1.83511E-13	4.60719E-13	3.2408E-13	-5.58371E-14
36.8056	1.53016E-13	1.53016E-13	1.02969E-12	7.68924E-16	1.23097E-13	-5.98111E-14
36.8889	1.34904E-13	1.34904E-13	1.20911E-12	6.19811E-16	9.77643E-14	-5.79052E-14
37.0556	1.37856E-13	1.37856E-13	1.18892E-12	4.69151E-16	1.0384E-13	-6.73544E-14
37.2222	1.37541E-13	1.37541E-13	1.17166E-12	3.85864E-16	1.03241E-13	-6.93035E-14
37.3889	1.37462E-13	1.37462E-13	1.15122E-12	3.32676E-16	1.03431E-13	-7.07168E-14
37.5556	1.37604E-13	1.37604E-13	1.12802E-12	2.97027E-16	1.04107E-13	-7.14925E-14
37.7222	1.37974E-13	1.37974E-13	1.10259E-12	2.72503E-16	1.04998E-13	-7.1718E-14
37.8889	1.38583E-13	1.38583E-13	1.07532E-12	2.55353E-16	1.05966E-13	-7.13715E-14
38.0556	1.39442E-13	1.39442E-13	1.0465E-12	2.43261E-16	1.06913E-13	-7.0519E-14
38.2222	1.40567E-13	1.40567E-13	1.01637E-12	2.34641E-16	1.07758E-13	-6.9224E-14
