TIME	Aqua: HSO3m + aH2O2 + Hp -> SO4mm + Hp + [aH2O]	Aqua: SO3mm + aO3 -> SO4mm + aO2	Aqua: HSO5m + HSO3m + Hp -> SO4mm + Hp	Aqua: aHNO4 + HSO3m -> HSO4m + Hp + NO3m	Gas: HSO3 -> HO2 + SULF	other sources	other sinks
24.0278	8.80029E-13	3.19997E-13	2.30854E-13	5.70503E-14	5.05078E-16	1.2439E-13	-1.04946E-14
24.1944	7.54594E-13	3.44863E-13	2.35336E-13	5.65092E-14	5.13439E-16	1.27542E-13	-1.04546E-14
24.3611	7.07443E-13	3.69198E-13	2.40665E-13	5.60386E-14	5.21119E-16	1.31056E-13	-1.04146E-14
24.5278	6.90647E-13	3.9207E-13	2.46209E-13	5.56613E-14	5.28267E-16	1.34481E-13	-1.03772E-14
24.6944	6.85364E-13	4.13218E-13	2.51671E-13	5.53722E-14	5.35017E-16	1.37674E-13	-1.03433E-14
24.8611	6.8432E-13	4.32624E-13	2.56906E-13	5.51633E-14	5.41465E-16	1.406E-13	-1.03147E-14
24.9444	6.8444E-13	4.41688E-13	2.59414E-13	5.50847E-14	5.44598E-16	1.41963E-13	-1.03012E-14
25.1111	7.75787E-16	1.14203E-19	0	0	1.1956E-15	8.57917E-15	-2.82485E-15
25.1944	4.57407E-16	7.26656E-20	3.02496E-21	0	1.33505E-15	9.15318E-15	-8.78283E-15
25.3611	5.86861E-16	3.92016E-20	1.25004E-21	0	1.39085E-15	1.07759E-14	-1.058E-14
25.5278	7.22387E-16	2.45623E-20	1.21429E-21	0	1.44045E-15	1.14039E-14	-1.12115E-14
25.6944	8.61801E-16	0	0	2.21508E-17	1.48883E-15	1.18809E-14	-1.15777E-14
25.8611	9.2257E-16	0	0	1.98712E-17	1.53615E-15	1.24098E-14	-1.20444E-14
26.0278	1.15606E-15	0	0	1.83266E-17	1.58243E-15	1.25751E-14	-1.21988E-14
26.1944	1.31003E-15	9.17822E-21	1.2331E-21	1.72803E-17	1.62766E-15	1.28168E-14	-1.24018E-14
26.3611	1.46897E-15	8.16724E-21	1.24877E-21	1.66767E-17	1.67186E-15	1.30017E-14	-1.25488E-14
26.5278	1.63299E-15	0	0	1.61376E-17	1.71507E-15	1.3139E-14	-1.26498E-14
26.6944	1.80209E-15	7.39223E-21	1.47845E-21	1.58859E-17	1.75736E-15	1.32372E-14	-1.27134E-14
26.8611	1.97632E-15	6.75886E-21	1.31843E-21	1.59571E-17	1.79881E-15	1.33032E-14	-1.27468E-14
27.0278	2.1558E-15	0	0	1.57866E-17	1.83947E-15	1.33425E-14	-1.27564E-14
27.1944	2.34182E-15	0	0	1.58816E-17	1.87942E-15	1.33537E-14	-1.27477E-14
27.3611	2.52904E-15	0	0	1.60463E-17	1.91869E-15	1.33657E-14	-1.27261E-14
27.5278	2.72295E-15	6.50474E-21	1.41893E-21	1.62665E-17	1.95733E-15	1.33558E-14	-1.26926E-14
27.6944	2.92149E-15	6.98551E-21	0	1.65316E-17	1.99537E-15	1.33358E-14	-1.26509E-14
27.8611	3.12453E-15	4.49486E-21	0	1.68336E-17	2.03283E-15	1.3308E-14	-1.2603E-14
28.0278	3.33198E-15	0	0	1.71638E-17	2.06975E-15	1.32742E-14	-1.25504E-14
28.1944	3.5436E-15	6.88601E-21	1.54686E-21	1.75185E-17	2.10613E-15	1.32355E-14	-1.24949E-14
28.3611	3.75936E-15	7.04085E-21	1.56277E-21	1.7893E-17	2.14199E-15	1.31933E-14	-1.24369E-14
28.5278	3.97912E-15	7.19795E-21	1.59577E-21	1.82924E-17	2.17735E-15	1.31485E-14	-1.23774E-14
28.6944	4.20274E-15	7.48124E-21	1.70028E-21	1.8692E-17	2.21222E-15	1.31017E-14	-1.23168E-14
28.8611	4.43012E-15	7.7491E-21	1.45296E-21	1.91109E-17	2.2466E-15	1.30533E-14	-1.22557E-14
29.0278	4.66047E-15	7.78378E-21	1.66795E-21	1.96231E-17	2.28729E-15	1.19778E-14	-1.11359E-14
29.1944	4.90469E-15	7.94028E-21	1.30144E-21	2.40934E-17	2.64875E-15	9.88268E-15	-7.72626E-15
29.3611	5.24274E-15	8.20432E-21	1.13163E-21	3.84593E-17	3.9497E-15	1.26078E-14	-5.43405E-15
29.5278	5.70662E-15	8.48429E-21	9.42699E-22	5.01665E-17	5.88738E-15	1.77474E-14	-4.14046E-15
29.6944	6.21787E-15	8.78728E-21	1.09841E-21	0	8.09941E-15	2.01147E-14	0
29.8611	6.72698E-15	0	0	6.56497E-17	1.08429E-14	1.88696E-14	-2.84974E-15
30.0278	7.24149E-15	9.17041E-21	1.31006E-21	7.51127E-17	1.41798E-14	1.61669E-14	-2.51076E-15
30.1944	7.78777E-15	9.64734E-21	1.26661E-21	8.5589E-17	1.80646E-14	1.35155E-14	-2.27209E-15
30.3611	8.38315E-15	9.92116E-21	1.40339E-21	9.69363E-17	2.24587E-14	1.1306E-14	-2.09722E-15
30.5278	9.03611E-15	0	0	1.08803E-16	2.73367E-14	9.52291E-15	-1.96534E-15
30.6944	9.75138E-15	8.3539E-21	0	1.21414E-16	3.26795E-14	8.08739E-15	-1.86438E-15
30.8611	1.05327E-14	0	0	1.34704E-16	3.84688E-14	6.93007E-15	-1.78633E-15
31.0278	1.13835E-14	1.10541E-20	2.12843E-21	1.48658E-16	4.46849E-14	5.99574E-15	-1.72569E-15
31.1944	0	0	0	0	5.13045E-14	2.18372E-16	-7.62538E-16
31.3611	1.33072E-14	1.16213E-20	2.58644E-21	1.78102E-16	5.83006E-14	4.63031E-15	-1.64337E-15
