Time	Gly(C2w)	Time	Gly(C2wo)	Time	wC2(C2w)	Time	wC2(C2wo)	Time	C2(C2w)	Time	C2(C2wo)	Time	MGly(C2w)	Time	MGly(C2wo)	Time	Pyr(C2w)	Time	Pyr(C2wo)	Time	C3(C2w)	Time	C3(C2wo)
23.99194	348.92124	24.00417	0.30376	23.99194	188.71328	24.00417	67.40357	23.99194	54.82429	24.00417	70.19464	23.99194	51.32908	24.00417	0.00345	23.99194	28.32938	24.00417	18.43211	23.99194	161.56683	24.00417	108.21171
24.15861	349.64457	24.17083	0.30785	24.15861	192.5912	24.17083	67.67953	24.15861	53.72051	24.17083	69.18908	24.15861	51.69657	24.17083	0.0035	24.15861	29.42778	24.17083	18.41059	24.15861	160.87997	24.17083	108.29324
24.32528	350.35147	24.3375	0.31196	24.32528	196.36235	24.3375	67.9533	24.32528	52.58517	24.3375	68.22627	24.32528	52.05929	24.3375	0.00354	24.32528	30.49537	24.3375	18.39342	24.32528	160.21689	24.3375	108.37054
24.49194	351.03479	24.50417	0.31609	24.49194	200.05368	24.50417	68.22557	24.49194	51.42954	24.50417	67.30456	24.49194	52.4175	24.50417	0.00359	24.49194	31.5265	24.50417	18.38048	24.49194	159.57753	24.50417	108.44493
24.65861	351.68944	24.67083	0.32024	24.65861	203.67807	24.67083	68.4964	24.65861	50.2775	24.67083	66.42235	24.65861	52.77122	24.67083	0.00364	24.65861	32.51986	24.67083	18.37166	24.65861	158.96239	24.67083	108.51602
24.82528	352.27164	24.8375	0.32441	24.82528	207.24581	24.8375	68.7652	24.82528	49.13386	24.8375	65.57808	24.82528	53.12115	24.8375	0.00369	24.82528	33.47364	24.8375	18.36682	24.82528	158.37074	24.8375	108.58421
24.84194	352.3571	25.00417	0.3286	24.84194	207.59774	25.00417	69.03246	24.84194	49.02084	25.00417	64.77023	24.84194	53.15626	25.00417	0.00373	24.84194	33.56704	25.00417	18.36591	24.84194	158.31313	25.00417	108.64992
25.00861	72.94215	25.17083	0.33281	25.00861	182.18824	25.17083	69.29839	25.00861	56.87297	25.17083	63.99815	25.00861	0.01439	25.17083	0.00378	25.00861	32.64434	25.17083	18.36881	25.00861	142.05166	25.17083	108.71314
25.09194	26.64988	25.3375	0.33704	25.09194	161.17268	25.3375	69.56308	25.09194	57.84559	25.3375	63.26002	25.09194	0.00629	25.3375	0.00383	25.09194	31.61994	25.3375	18.37532	25.09194	130.84176	25.3375	108.77419
25.25861	3.80224	25.50417	0.34129	25.25861	156.28285	25.50417	69.82601	25.25861	56.56791	25.50417	62.55445	25.25861	0.00619	25.50417	0.00388	25.25861	30.9176	25.50417	18.3854	25.25861	124.64251	25.50417	108.83328
25.42528	0.87033	25.67083	0.34556	25.42528	153.79131	25.67083	70.08798	25.42528	55.21152	25.67083	61.88062	25.42528	0.00616	25.67083	0.00393	25.42528	30.60769	25.67083	18.39894	25.42528	121.10068	25.67083	108.89019
25.59194	0.49429	25.8375	0.34985	25.59194	152.08943	25.8375	70.34864	25.59194	54.01711	25.8375	61.23724	25.59194	0.00615	25.8375	0.00397	25.59194	30.40082	25.8375	18.41586	25.59194	118.82201	25.8375	108.94514
25.75861	0.44633	26.00417	0.35416	25.75861	150.82476	26.00417	70.60815	25.75861	52.99204	26.00417	60.6231	25.75861	0.00614	26.00417	0.00402	25.75861	30.26192	26.00417	18.43607	25.75861	117.27952	26.00417	108.99884
25.92528	0.44115	26.17083	0.35849	25.92528	149.84612	26.17083	70.86635	25.92528	52.12766	26.17083	60.03724	25.92528	0.00615	26.17083	0.00407	25.92528	30.17057	26.17083	18.4594	25.92528	116.20954	26.17083	109.05058
26.09194	0.44217	26.3375	0.36283	26.09194	149.06971	26.3375	71.12367	26.09194	51.40562	26.3375	59.47849	26.09194	0.00617	26.3375	0.00412	26.09194	30.11359	26.3375	18.48586	26.09194	115.46002	26.3375	109.10128
26.25861	0.44464	26.50417	0.3672	26.25861	148.44524	26.50417	71.37987	26.25861	50.80403	26.50417	58.94581	26.25861	0.00619	26.50417	0.00417	26.25861	30.08166	26.50417	18.51524	26.25861	114.93598	26.50417	109.15032
26.42528	0.44784	26.67083	0.37159	26.42528	147.93454	26.67083	71.63508	26.42528	50.30111	26.67083	58.43859	26.42528	0.00623	26.67083	0.00422	26.42528	30.06836	26.67083	18.5476	26.42528	114.5736	26.67083	109.19833
26.59194	0.45159	26.8375	0.376	26.59194	147.51047	26.8375	71.88949	26.59194	49.8774	26.8375	57.95545	26.59194	0.00627	26.8375	0.00427	26.59194	30.06856	26.8375	18.58268	26.59194	114.32743	26.8375	109.24478
26.75861	0.45577	27.00417	0.38043	26.75861	147.15223	27.00417	72.14272	26.75861	49.51564	27.00417	57.49568	26.75861	0.00632	27.00417	0.00432	26.75861	30.07883	27.00417	18.62053	26.75861	114.16549	27.00417	109.29051
26.92528	0.4603	27.17083	0.38488	26.92528	146.8452	27.17083	72.39482	26.92528	49.20279	27.17083	57.05853	26.92528	0.00637	27.17083	0.00437	26.92528	30.09658	27.17083	18.66104	26.92528	114.06501	27.17083	109.3351
27.09194	0.46511	27.3375	0.38935	27.09194	146.57514	27.3375	72.64644	27.09194	48.92848	27.3375	56.64293	27.09194	0.00643	27.3375	0.00442	27.09194	30.12009	27.3375	18.70408	27.09194	114.00874	27.3375	109.37875
