TIME	Aqua: aO=C([O-])C(O)[O] + aO2 -> aO=C(O)C(=O)[O-] + aHO2	Aqua: aO=C(O)C(O)[O] + aO2 -> aO=C(O)C(=O)O + aHO2	other sources	Aqua: FEC2O42m -> FEpp + aO=C([O-])C(=O)[O-] + aCO2 + aO	Aqua: FEC2O43mmm -> FEpp + aO=C([O-])C(=O)[O-] + aCO2 +	Aqua: aO=C(O)C(=O)[O-] + aNO3 -> aO=C([O-])C(=O)[O] + NO	Aqua: aNO3 + aO=C([O-])C(=O)[O-] -> NO3m + aO=C([O-])C(=	other sinks
24.0278	1.46063E-14	6.46299E-16	7.85402E-16	0	0	-5.01408E-15	-2.24694E-14	-5.42073E-16
24.1944	1.50006E-14	6.44712E-16	7.95323E-16	0	0	-4.8127E-15	-2.22547E-14	-5.72884E-16
24.3611	1.54439E-14	6.47007E-16	8.09901E-16	0	0	-4.63695E-15	-2.20688E-14	-5.93365E-16
24.5278	1.5904E-14	6.51725E-16	8.26236E-16	0	0	-4.48523E-15	-2.18944E-14	-6.09331E-16
24.6944	1.63691E-14	6.58171E-16	8.43146E-16	0	0	-4.35427E-15	-2.17273E-14	-6.23178E-16
24.8611	1.68349E-14	6.65947E-16	8.60165E-16	0	0	-4.24086E-15	-2.1567E-14	-6.35924E-16
24.9444	1.70672E-14	6.70248E-16	8.6865E-16	0	0	-4.18987E-15	-2.14893E-14	-6.42025E-16
25.1111	1.32574E-15	2.21955E-15	7.91934E-16	0	0	-2.14638E-15	-2.63093E-16	-1.05418E-17
25.1944	1.49836E-15	2.51849E-15	8.63926E-16	0	0	-1.74637E-15	-2.25101E-16	-1.21352E-17
25.3611	1.34857E-15	3.27241E-15	1.06752E-15	0	0	-2.03974E-15	-1.92228E-16	-1.53167E-17
25.5278	1.13783E-15	3.58886E-15	1.15528E-15	0	0	-2.21982E-15	-1.6467E-16	-1.76445E-17
25.6944	9.91842E-16	3.81252E-15	1.21752E-15	0	0	-2.3408E-15	-1.44705E-16	-1.95901E-17
25.8611	8.90016E-16	3.986E-15	1.26612E-15	0	0	-2.42214E-15	-1.30012E-16	-2.11515E-17
26.0278	8.1723E-16	4.12186E-15	1.30442E-15	0	0	-2.4751E-15	-1.19027E-16	-2.25291E-17
26.1944	7.64322E-16	4.22739E-15	1.33433E-15	0	0	-2.50797E-15	-1.10732E-16	-2.36652E-17
26.3611	7.25494E-16	4.30804E-15	1.35746E-15	0	0	-2.52655E-15	-1.0443E-16	-2.46268E-17
26.5278	6.96901E-16	4.36834E-15	1.37509E-15	0	0	-2.53502E-15	-9.96267E-17	-2.54451E-17
26.6944	6.75879E-16	4.41211E-15	1.38828E-15	0	0	-2.53639E-15	-9.59591E-17	-2.61471E-17
26.8611	6.6053E-16	4.4426E-15	1.39793E-15	0	0	-2.53277E-15	-9.31576E-17	-2.67556E-17
27.0278	6.49471E-16	4.46253E-15	1.40477E-15	0	0	-2.52569E-15	-9.10198E-17	-2.72901E-17
27.1944	6.41676E-16	4.47413E-15	1.4094E-15	0	0	-2.51622E-15	-8.93923E-17	-2.77663E-17
27.3611	6.36376E-16	4.47922E-15	1.41232E-15	0	0	-2.50515E-15	-8.81582E-17	-2.81964E-17
27.5278	6.32993E-16	4.47929E-15	1.41391E-15	0	0	-2.49304E-15	-8.72286E-17	-2.85909E-17
27.6944	6.31084E-16	4.47549E-15	1.41447E-15	0	0	-2.48027E-15	-8.6535E-17	-2.89576E-17
27.8611	6.30313E-16	4.46875E-15	1.41426E-15	0	0	-2.46715E-15	-8.60253E-17	-2.93028E-17
28.0278	6.30418E-16	4.4598E-15	1.41347E-15	0	0	-2.45387E-15	-8.56587E-17	-2.9631E-17
28.1944	6.31202E-16	4.44919E-15	1.41223E-15	0	0	-2.44059E-15	-8.54046E-17	-2.99462E-17
28.3611	6.32511E-16	4.43737E-15	1.41066E-15	0	0	-2.4274E-15	-8.52385E-17	-3.0251E-17
28.5278	6.34228E-16	4.42466E-15	1.40886E-15	0	0	-2.41438E-15	-8.51421E-17	-3.05476E-17
28.6944	6.36259E-16	4.41131E-15	1.40689E-15	0	0	-2.40158E-15	-8.51008E-17	-3.08375E-17
28.8611	6.38534E-16	4.39754E-15	1.40479E-15	0	-1.35528E-26	-2.38902E-15	-8.51033E-17	-3.1122E-17
29.0278	5.92294E-16	4.04316E-15	1.29649E-15	-1.26743E-15	-8.64953E-16	-2.17246E-15	-7.78366E-17	-3.01426E-17
29.1944	4.65562E-16	3.15118E-15	1.01218E-15	-3.74812E-14	-2.51839E-14	-1.63805E-15	-5.91561E-17	-3.21719E-17
29.3611	4.55761E-16	3.16316E-15	9.83619E-16	-1.10104E-13	-1.00394E-13	-1.71153E-15	-6.24445E-17	-6.01914E-17
29.5278	5.02289E-16	3.5941E-15	1.07798E-15	-1.04424E-13	-1.7349E-13	-2.32369E-15	-8.57617E-17	-1.32679E-16
29.6944	5.17056E-16	3.79999E-15	8.89159E-16	-5.51659E-14	-1.44192E-13	-2.92307E-15	-1.07084E-16	-2.95646E-16
29.8611	5.01556E-16	3.49849E-15	1.04982E-15	-2.09901E-14	-6.55329E-14	-2.88978E-15	-1.09064E-16	-2.80808E-16
30.0278	4.80862E-16	3.20995E-15	9.87768E-16	-5.9304E-15	-1.84319E-14	-2.68503E-15	-1.02337E-16	-3.17548E-16
30.1944	4.71425E-16	2.98897E-15	9.49225E-16	-1.51013E-15	-3.92396E-15	-2.44786E-15	-9.41741E-17	-3.51969E-16
30.3611	4.74136E-16	2.85385E-15	9.36883E-16	-5.80922E-16	-1.04976E-15	-2.25063E-15	-8.73687E-17	-3.91676E-16
30.5278	4.8673E-16	2.79024E-15	9.4607E-16	-3.94877E-16	-5.46988E-16	-2.09538E-15	-8.20456E-17	-4.37442E-16
30.6944	5.07313E-16	2.78358E-15	9.72679E-16	-3.36555E-16	-4.09593E-16	-1.97221E-15	-7.78605E-17	-4.88805E-16
