TIME	Aqua: aO=C(O)CC(O)(O)O[O] -> aO=C(O)CC(=O)O + aHO2	Aqua: aO=C(O)CC(O)[O] + aO2 -> aO=C(O)CC(=O)O + aHO2	Aqua: aO=C(O)CC(=O)O[O] -> aO=C(O)CC(=O)O + aHO2 + [aH2O	Aqua: aO=C([O-])CC(O)(O)O[O] -> aO=C(O)CC(=O)[O-] + aHO2	Aqua: aO=C([O-])CC(O)[O] + aO2 -> aO=C(O)CC(=O)[O-] + aH	other sources	Aqua: aO=C(O)CC(=O)[O-] + aHO -> aO=C(O)[C]C(=O)[O-] + a	Aqua: aO=C(O)CC(=O)[O-] + aNO3 -> aO=C(O)[C]C(=O)[O-] +	other sinks
24.0278	9.26635E-17	2.97041E-17	1.05412E-16	1.64863E-16	2.82109E-17	1.61415E-17	-2.78274E-16	-1.53812E-15	-3.42879E-16
24.1944	9.29246E-17	2.92397E-17	1.03949E-16	1.70056E-16	2.86509E-17	1.64568E-17	-2.76381E-16	-1.52553E-15	-3.50671E-16
24.3611	9.32899E-17	2.88533E-17	1.02617E-16	1.75148E-16	2.90852E-17	1.68124E-17	-2.75264E-16	-1.51316E-15	-3.57992E-16
24.5278	9.36986E-17	2.85275E-17	1.01542E-16	1.79891E-16	2.9478E-17	1.71695E-17	-2.74382E-16	-1.50128E-15	-3.64385E-16
24.6944	9.41282E-17	2.82504E-17	1.00727E-16	1.8424E-16	2.9824E-17	1.7516E-17	-2.7355E-16	-1.48994E-15	-3.69795E-16
24.8611	9.45702E-17	2.80138E-17	1.00144E-16	1.88213E-16	3.01266E-17	1.78526E-17	-2.72708E-16	-1.47912E-15	-3.74288E-16
24.9444	9.47946E-17	2.79088E-17	9.99297E-17	1.90067E-16	3.02627E-17	1.80158E-17	-2.7228E-16	-1.4739E-15	-3.76219E-16
25.1111	3.64412E-17	3.64412E-17	1.45765E-16	2.05697E-18	5.77396E-19	3.60873E-20	0	-4.37295E-16	-1.80354E-17
25.1944	3.84969E-17	2.02615E-17	1.76275E-16	2.34578E-18	6.43575E-19	1.6259E-17	-1.01308E-17	-5.02486E-16	-1.69162E-17
25.3611	4.31793E-17	2.3029E-17	1.81353E-16	1.87303E-18	5.23874E-19	2.01934E-17	-8.63587E-18	-4.40429E-16	-1.86931E-17
25.5278	4.23123E-17	2.30794E-17	1.65403E-16	1.48719E-18	4.20903E-19	2.312E-17	-7.69315E-18	-3.69271E-16	-1.95076E-17
25.6944	4.34799E-17	2.28365E-17	1.51894E-16	1.24135E-18	3.54097E-19	2.5404E-17	-6.96061E-18	-3.19854E-16	-2.02269E-17
25.8611	4.37407E-17	2.30559E-17	1.41028E-16	9.03926E-19	0	2.71689E-17	-6.49507E-18	-2.84054E-16	-2.1394E-17
26.0278	4.39448E-17	2.32239E-17	1.32313E-16	9.66127E-19	2.77857E-19	2.853E-17	-6.20495E-18	-2.57977E-16	-2.14464E-17
26.1944	4.41155E-17	2.33613E-17	1.25389E-16	8.85808E-19	2.56994E-19	2.95083E-17	-6.03883E-18	-2.3875E-16	-2.19729E-17
26.3611	4.42677E-17	2.3479E-17	1.19921E-16	8.2881E-19	2.40921E-19	3.02188E-17	-5.96467E-18	-2.2446E-16	-2.24631E-17
26.5278	4.44103E-17	2.35839E-17	1.15619E-16	7.87623E-19	2.29188E-19	3.0724E-17	-5.96088E-18	-2.13793E-16	-2.29266E-17
26.6944	4.45483E-17	2.36804E-17	1.12241E-16	7.5758E-19	2.21169E-19	3.1072E-17	-6.01205E-18	-2.05821E-16	-2.33691E-17
26.8611	4.46843E-17	2.37711E-17	1.09589E-16	7.36232E-19	2.15265E-19	3.1299E-17	-6.10673E-18	-1.99869E-16	-2.37966E-17
27.0278	4.48199E-17	2.38581E-17	1.07505E-16	7.21573E-19	2.11227E-19	3.14328E-17	-6.2364E-18	-1.95445E-16	-2.42123E-17
27.1944	4.49556E-17	2.39423E-17	1.05864E-16	7.10621E-19	2.09762E-19	3.14974E-17	-6.39413E-18	-1.92181E-16	-2.4618E-17
27.3611	4.50915E-17	2.40246E-17	1.04565E-16	7.04192E-19	2.06489E-19	3.15077E-17	-6.57462E-18	-1.898E-16	-2.50158E-17
27.5278	4.52277E-17	2.41052E-17	1.03533E-16	7.00252E-19	2.05451E-19	3.14771E-17	-6.77359E-18	-1.88095E-16	-2.54067E-17
27.6944	4.53638E-17	2.41846E-17	1.02706E-16	6.98408E-19	2.05007E-19	3.14156E-17	-6.98758E-18	-1.86907E-16	-2.57915E-17
27.8611	4.54997E-17	2.42629E-17	1.02037E-16	6.98183E-19	2.05022E-19	3.13308E-17	-7.21379E-18	-1.86115E-16	-2.61707E-17
28.0278	4.56351E-17	2.43401E-17	1.01491E-16	6.99173E-19	2.05349E-19	3.12286E-17	-7.44995E-18	-1.85627E-16	-2.65446E-17
28.1944	4.57698E-17	2.44163E-17	1.01039E-16	7.01177E-19	2.06023E-19	3.11135E-17	-7.6942E-18	-1.85373E-16	-2.69136E-17
28.3611	4.59035E-17	2.44916E-17	1.00659E-16	7.03893E-19	2.06869E-19	3.09888E-17	-7.94502E-18	-1.85297E-16	-2.72778E-17
28.5278	4.60361E-17	2.45659E-17	1.00335E-16	7.07182E-19	2.07877E-19	3.08572E-17	-8.20118E-18	-1.85359E-16	-2.76373E-17
28.6944	4.61673E-17	2.46393E-17	1.00054E-16	7.10911E-19	2.0901E-19	3.07206E-17	-8.46167E-18	-1.85526E-16	-2.79921E-17
28.8611	4.62972E-17	2.47116E-17	9.9806E-17	7.14978E-19	2.10239E-19	3.05807E-17	-8.72564E-18	-1.85773E-16	-2.83425E-17
29.0278	4.33808E-17	2.31704E-17	9.09359E-17	6.67235E-19	1.96399E-19	2.80541E-17	-8.9474E-18	-1.69924E-16	-2.75178E-17
29.1944	3.57302E-17	1.91528E-17	6.33136E-17	5.25838E-19	1.55727E-19	2.08751E-17	-1.0478E-17	-1.18786E-16	-2.66341E-17
29.3611	3.47772E-17	1.87459E-17	4.47004E-17	4.76006E-19	1.42451E-19	1.7146E-17	-1.47596E-17	-8.41801E-17	-3.16554E-17
