TIME	Aqua: aCC(=O)C(=O)ON(=O)=O + [aH2O] -> aCC(=O)C(=O)O + H	other sources	Gas: CC(=O)C(=O)O -> CC(=O)O[O] + HO2	Aqua: aCC(=O)C(=O)[O-] + aH2O2 -> aCO2 + aCC(=O)[O-] + [	Aqua: aCC(=O)C(=O)O + aH2O2 -> aCO2 + aCC(=O)O + [aH2O]	Aqua: aCC(=O)C(=O)[O-] + aHO -> aO=C([O-])C(=O)[C] + [aH	other sinks
24.0278	6.47771E-15	6.06089E-15	0	-4.1085E-16	-9.29721E-19	-4.50702E-16	-1.36614E-15
24.1944	6.37508E-15	6.04866E-15	0	-3.55422E-16	-7.8067E-19	-4.58833E-16	-1.3907E-15
24.3611	6.34713E-15	6.05982E-15	0	-3.36402E-16	-7.1766E-19	-4.68053E-16	-1.41619E-15
24.5278	6.34814E-15	6.07868E-15	0	-3.31703E-16	-6.90344E-19	-4.77551E-16	-1.44175E-15
24.6944	6.35993E-15	6.09946E-15	0	-3.3254E-16	-6.77052E-19	-4.87035E-16	-1.46715E-15
24.8611	6.37541E-15	6.12018E-15	0	-3.3548E-16	-6.70211E-19	-4.96411E-16	-1.49229E-15
24.9444	6.38362E-15	6.13025E-15	0	-3.37277E-16	-6.68081E-19	-5.01051E-16	-1.50475E-15
25.1111	2.2308E-15	2.88677E-15	0	-3.01459E-16	-2.46372E-17	-2.58393E-17	-7.8512E-16
25.1944	1.46096E-15	2.782E-15	0	-2.70288E-16	-2.13085E-17	-2.4401E-17	-9.09266E-16
25.3611	1.37818E-15	2.74564E-15	0	-2.84573E-16	-3.06606E-17	-2.17545E-17	-9.55396E-16
25.5278	1.33858E-15	2.73971E-15	0	-2.90703E-16	-3.9808E-17	-1.92963E-17	-9.15773E-16
25.6944	1.32128E-15	2.73587E-15	0	-2.98122E-16	-4.89939E-17	-1.79357E-17	-8.84598E-16
25.8611	1.31835E-15	2.73369E-15	0	-3.07389E-16	-5.82467E-17	-1.6953E-17	-8.61571E-16
26.0278	1.32493E-15	2.73299E-15	0	-3.18748E-16	-6.73381E-17	-1.6372E-17	-8.44474E-16
26.1944	1.33792E-15	2.73349E-15	0	-3.32305E-16	-7.64631E-17	-1.60851E-17	-8.32338E-16
26.3611	1.3553E-15	2.73498E-15	0	-3.4806E-16	-8.55502E-17	-1.60217E-17	-8.23814E-16
26.5278	1.37579E-15	2.73726E-15	0	-3.65947E-16	-9.45994E-17	-1.61335E-17	-8.18059E-16
26.6944	1.39856E-15	2.74021E-15	0	-3.85852E-16	-1.03613E-16	-1.63854E-17	-8.14436E-16
26.8611	1.42303E-15	2.7437E-15	0	-4.07639E-16	-1.12594E-16	-1.67511E-17	-8.12455E-16
27.0278	1.44881E-15	2.74765E-15	0	-4.31159E-16	-1.21547E-16	-1.72099E-17	-8.11745E-16
27.1944	1.47566E-15	2.75199E-15	0	-4.56261E-16	-1.30474E-16	-1.77459E-17	-8.12018E-16
27.3611	1.50336E-15	2.75666E-15	0	-4.828E-16	-1.39381E-16	-1.83462E-17	-8.13049E-16
27.5278	1.53179E-15	2.76161E-15	0	-5.1064E-16	-1.48268E-16	-1.90002E-17	-8.14666E-16
27.6944	1.56085E-15	2.7668E-15	0	-5.39653E-16	-1.5714E-16	-1.96995E-17	-8.16734E-16
27.8611	1.59045E-15	2.7722E-15	0	-5.69726E-16	-1.65997E-16	-2.0437E-17	-8.19148E-16
28.0278	1.62053E-15	2.77777E-15	0	-6.00758E-16	-1.74841E-16	-2.1207E-17	-8.21827E-16
28.1944	1.65105E-15	2.7835E-15	0	-6.32661E-16	-1.83674E-16	-2.20049E-17	-8.24709E-16
28.3611	1.68196E-15	2.78935E-15	0	-6.65356E-16	-1.92497E-16	-2.28266E-17	-8.27742E-16
28.5278	1.71324E-15	2.79532E-15	0	-6.98776E-16	-2.0131E-16	-2.3669E-17	-8.30889E-16
28.6944	1.74485E-15	2.8014E-15	0	-7.32863E-16	-2.10112E-16	-2.45295E-17	-8.3412E-16
28.8611	1.77678E-15	2.80756E-15	0	-7.67565E-16	-2.18904E-16	-2.54057E-17	-8.37411E-16
29.0278	1.80165E-15	2.80916E-15	-1.69735E-17	-8.02854E-16	-2.27651E-16	-2.61644E-17	-7.73257E-16
29.1944	1.77629E-15	2.79961E-15	-1.86124E-16	-8.41914E-16	-2.36842E-16	-3.07724E-17	-5.79859E-16
29.3611	1.77558E-15	2.80609E-15	-4.87357E-16	-8.98644E-16	-2.50227E-16	-4.35097E-17	-4.98962E-16
29.5278	1.85921E-15	2.83562E-15	-8.24475E-16	-9.77731E-16	-2.69134E-16	-5.56809E-17	-4.84724E-16
29.6944	1.97812E-15	2.88909E-15	-1.15148E-15	-1.06514E-15	-2.89722E-16	-6.76281E-17	-4.63373E-16
29.8611	2.12571E-15	2.96175E-15	-1.45292E-15	-1.15046E-15	-3.09684E-16	-7.07717E-17	-4.42871E-16
30.0278	2.291E-15	3.05081E-15	-1.72564E-15	-1.23589E-15	-3.2943E-16	-8.01257E-17	-4.23824E-16
30.1944	2.50503E-15	3.16359E-15	-1.97102E-15	-1.32597E-15	-3.50148E-16	-9.23402E-17	-4.17418E-16
30.3611	2.78049E-15	3.30276E-15	-2.19207E-15	-1.4239E-15	-3.72644E-16	-1.06812E-16	-4.2213E-16
30.5278	3.11986E-15	3.46895E-15	-2.39214E-15	-1.53128E-15	-3.97308E-16	-1.231E-16	-4.35486E-16
30.6944	3.52184E-15	3.66216E-15	-2.57446E-15	-1.64908E-15	-4.24369E-16	-1.41054E-16	-4.55879E-16
30.8611	3.98466E-15	3.8822E-15	-2.74195E-15	-1.77818E-15	-4.5402E-16	-1.60654E-16	-4.8234E-16
31.0278	4.50701E-15	4.1288E-15	-2.89723E-15	-1.91949E-15	-4.8646E-16	-1.81924E-16	-5.14233E-16
31.1944	5.08822E-15	4.40158E-15	-3.04257E-15	-2.074E-15	-5.23607E-16	-2.04907E-16	-5.48569E-16
31.3611	5.72813E-15	4.70001E-15	-3.18002E-15	-2.24279E-15	-5.60586E-16	-2.2966E-16	-5.92725E-16
31.5278	6.42707E-15	5.02337E-15	-3.31137E-15	-2.42701E-15	-6.02759E-16	-2.56249E-16	-6.38845E-16
31.6944	7.1857E-15	5.37076E-15	-3.4382E-15	-2.62792E-15	-6.48699E-16	-2.84755E-16	-6.89382E-16
31.8611	8.00491E-15	5.74111E-15	-3.56192E-15	-2.84687E-15	-6.98703E-16	-3.15263E-16	-7.443E-16
32.0278	8.88571E-15	6.13317E-15	-3.6838E-15	-3.08533E-15	-7.5309E-16	-3.47873E-16	-8.03615E-16
32.1944	9.82921E-15	6.54554E-15	-3.80496E-15	-3.34486E-15	-8.12205E-16	-3.82691E-16	-8.67392E-16
32.3611	1.08364E-14	6.97675E-15	-3.9264E-15	-3.62712E-15	-8.76414E-16	-4.19853E-16	-9.35731E-16
32.5278	1.19082E-14	7.42508E-15	-4.04901E-15	-3.93396E-15	-9.46106E-16	-4.59422E-16	-1.00875E-15
32.6944	1.30453E-14	7.88897E-15	-4.17359E-15	-4.2672E-15	-1.02169E-15	-5.01589E-16	-1.08662E-15
32.8611	1.4248E-14	8.36668E-15	-4.30079E-15	-4.62886E-15	-1.10359E-15	-5.46467E-16	-1.16949E-15
33.0278	1.55161E-14	8.85651E-15	-4.43123E-15	-5.02101E-15	-1.19226E-15	-5.94193E-16	-1.25754E-15
33.1944	1.6849E-14	9.35674E-15	-4.56538E-15	-5.44577E-15	-1.28813E-15	-6.44905E-16	-1.35096E-15
33.3611	1.82455E-14	9.86568E-15	-4.70365E-15	-5.90533E-15	-1.39166E-15	-6.98738E-16	-1.44991E-15
33.5278	1.97037E-14	1.03816E-14	-4.84634E-15	-6.40188E-15	-1.50331E-15	-7.5582E-16	-1.55457E-15
33.6944	2.12209E-14	1.09029E-14	-4.99366E-15	-6.9376E-15	-1.62351E-15	-8.16269E-16	-1.66506E-15
33.8611	2.27937E-14	1.14279E-14	-5.14572E-15	-7.51461E-15	-1.75268E-15	-8.80189E-16	-1.7815E-15
34.0278	2.4418E-14	1.1955E-14	-5.30251E-15	-8.13495E-15	-1.89121E-15	-9.47664E-16	-1.90396E-15
34.1944	2.60887E-14	1.24825E-14	-5.46396E-15	-8.8005E-15	-2.03943E-15	-1.01875E-15	-2.03245E-15
34.3611	2.78E-14	1.30088E-14	-5.62986E-15	-9.51294E-15	-2.19765E-15	-1.09348E-15	-2.16695E-15
34.5278	2.95455E-14	1.35321E-14	-5.79991E-15	-1.02737E-14	-2.36608E-15	-1.17185E-15	-2.30732E-15
34.6944	3.1318E-14	1.40509E-14	-5.97372E-15	-1.10839E-14	-2.54486E-15	-1.2538E-15	-2.4534E-15
34.8611	3.31096E-14	1.45634E-14	-6.15077E-15	-1.19444E-14	-2.73405E-15	-1.33923E-15	-2.60488E-15
35.0278	3.49118E-14	1.5068E-14	-6.33045E-15	-1.28555E-14	-2.93359E-15	-1.428E-15	-2.76142E-15
35.0833	3.56338E-14	1.52672E-14	-6.40292E-15	-1.3234E-14	-3.01627E-15	-1.4644E-15	-2.82534E-15
35.25	8.15646E-14	2.27324E-14	-2.02633E-15	-2.71816E-14	-5.26013E-15	-2.96506E-15	-5.18267E-15
35.3333	1.64082E-13	8.35157E-14	-6.78031E-20	-3.29706E-14	-4.12144E-18	-1.2451E-14	-1.0107E-14
35.5	1.69139E-13	6.924E-14	-1.12438E-19	-1.37706E-14	-1.17838E-17	-1.85771E-14	-7.99884E-15
35.6667	1.68106E-13	6.73135E-14	-1.96608E-19	-9.60004E-15	-1.68618E-17	-2.42798E-14	-4.95863E-15
35.8333	1.67733E-13	6.68519E-14	-2.94426E-19	-8.77152E-15	-2.24785E-17	-2.91674E-14	-4.01032E-15
36	1.68162E-13	6.67979E-14	-4.05591E-19	-9.14463E-15	-3.08676E-17	-3.3321E-14	-4.09647E-15
36.1667	1.68687E-13	6.67824E-14	-5.34968E-19	-9.949E-15	-4.22026E-17	-3.70741E-14	-4.54844E-15
36.3333	1.68827E-13	6.66389E-14	-6.82882E-19	-1.08988E-14	-5.62242E-17	-4.05183E-14	-5.13579E-15
36.5	1.68364E-13	6.62993E-14	-8.46844E-19	-1.18857E-14	-7.26122E-17	-4.3646E-14	-5.78955E-15
36.6389	1.67642E-13	6.59331E-14	-9.69319E-19	-1.25743E-14	-8.53144E-17	-4.56344E-14	-6.27007E-15
36.8056	5.31183E-14	1.94425E-14	-8.09403E-15	-1.22033E-14	-1.32347E-15	-3.6976E-15	-3.94113E-15
36.8889	3.39867E-14	1.55669E-14	-1.18864E-14	-1.17036E-14	-1.20716E-15	-3.83394E-15	-3.96378E-15
37.0556	2.96377E-14	1.43714E-14	-1.35043E-14	-1.2996E-14	-1.75569E-15	-3.44608E-15	-4.3875E-15
37.2222	2.71649E-14	1.40101E-14	-1.4283E-14	-1.37012E-14	-2.28031E-15	-3.06342E-15	-4.72067E-15
37.3889	2.58534E-14	1.38615E-14	-1.48015E-14	-1.4317E-14	-2.7938E-15	-2.78965E-15	-4.97171E-15
37.5556	2.52797E-14	1.38407E-14	-1.51382E-14	-1.49269E-14	-3.29031E-15	-2.59631E-15	-5.16829E-15
37.7222	2.51733E-14	1.38936E-14	-1.53405E-14	-1.55725E-14	-3.76638E-15	-2.46158E-15	-5.32644E-15
37.8889	2.53569E-14	1.39892E-14	-1.54404E-14	-1.62704E-14	-4.22004E-15	-2.36919E-15	-5.45436E-15
38.0556	2.57124E-14	1.41059E-14	-1.54604E-14	-1.70231E-14	-4.65016E-15	-2.30705E-15	-5.55653E-15
38.2222	2.61583E-14	1.4229E-14	-1.54168E-14	-1.78247E-14	-5.05607E-15	-2.266E-15	-5.63529E-15
38.3889	2.66371E-14	1.43483E-14	-1.53219E-14	-1.86649E-14	-5.43742E-15	-2.23905E-15	-5.69185E-15
38.5556	2.71074E-14	1.44569E-14	-1.51845E-14	-1.95311E-14	-5.79395E-15	-2.2209E-15	-5.72694E-15
38.7222	2.75394E-14	1.45497E-14	-1.50114E-14	-2.04103E-14	-6.12555E-15	-2.20749E-15	-5.74106E-15
38.8889	2.79112E-14	1.46235E-14	-1.48072E-14	-2.129E-14	-6.43214E-15	-2.19572E-15	-5.73468E-15
39.0556	2.82072E-14	1.4676E-14	-1.45755E-14	-2.21586E-14	-6.71374E-15	-2.18322E-15	-5.7083E-15
39.2222	2.84165E-14	1.47059E-14	-1.43186E-14	-2.30059E-14	-6.97043E-15	-2.16821E-15	-5.66251E-15
39.3889	2.85317E-14	1.47128E-14	-1.40378E-14	-2.38233E-14	-7.20237E-15	-2.14939E-15	-5.59802E-15
39.5556	2.85482E-14	1.46966E-14	-1.37342E-14	-2.46033E-14	-7.40982E-15	-2.12579E-15	-5.51565E-15
39.7222	2.84637E-14	1.4658E-14	-1.34079E-14	-2.534E-14	-7.59313E-15	-2.09679E-15	-5.41637E-15
39.8889	2.82778E-14	1.45978E-14	-1.30589E-14	-2.60287E-14	-7.75275E-15	-2.06198E-15	-5.30129E-15
40.0556	2.79915E-14	1.45175E-14	-1.26866E-14	-2.66658E-14	-7.88924E-15	-2.02117E-15	-5.17167E-15
40.2222	2.76073E-14	1.4419E-14	-1.22902E-14	-2.72487E-14	-8.00326E-15	-1.97436E-15	-5.02894E-15
40.3889	2.71288E-14	1.43045E-14	-1.18685E-14	-2.77758E-14	-8.0956E-15	-1.92169E-15	-4.87468E-15
40.5556	2.65607E-14	1.41768E-14	-1.14199E-14	-2.82464E-14	-8.16714E-15	-1.86341E-15	-4.71063E-15
40.7222	2.59086E-14	1.40393E-14	-1.09425E-14	-2.86603E-14	-8.21886E-15	-1.79989E-15	-4.53869E-15
40.8889	2.51787E-14	1.3896E-14	-1.0434E-14	-2.90183E-14	-8.25184E-15	-1.73161E-15	-4.36098E-15
41.0556	2.43782E-14	1.37516E-14	-9.89124E-15	-2.93213E-14	-8.26726E-15	-1.65909E-15	-4.17979E-15
41.2222	2.35149E-14	1.36121E-14	-9.31088E-15	-2.95711E-14	-8.26637E-15	-1.58297E-15	-3.9977E-15
41.3889	2.25972E-14	1.34848E-14	-8.68862E-15	-2.97697E-14	-8.25051E-15	-1.50389E-15	-3.81762E-15
41.5556	2.16341E-14	1.33786E-14	-8.01935E-15	-2.99194E-14	-8.22109E-15	-1.42258E-15	-3.64298E-15
41.7222	2.06351E-14	1.33054E-14	-7.29705E-15	-3.00229E-14	-8.17959E-15	-1.3398E-15	-3.47794E-15
41.8889	1.96106E-14	1.32798E-14	-6.51483E-15	-3.00829E-14	-8.12755E-15	-1.25631E-15	-3.32791E-15
42.0556	1.85717E-14	1.332E-14	-5.66524E-15	-3.01021E-14	-8.06662E-15	-1.17293E-15	-3.20045E-15
42.2222	1.75308E-14	1.3445E-14	-4.74156E-15	-3.00826E-14	-7.99851E-15	-1.0905E-15	-3.10693E-15
42.3889	1.65022E-14	1.36579E-14	-3.74118E-15	-3.00255E-14	-7.92498E-15	-1.00981E-15	-3.06585E-15
42.5556	1.55032E-14	1.3878E-14	-2.67461E-15	-2.99285E-14	-7.84767E-15	-9.31406E-16	-3.1091E-15
