TIME	Aqua: aOC(O)C(O)[O] + aO2 -> aOC(O)C(=O)O + aHO2	Aqua: aOC(O)C(O)(O)O[O] -> aHO2 + aOC(O)C(=O)O	Gas: O=N(=O)OC1C2OOC1(C)C([O])(O)C(=C2N(=O)=O)O -> CC(C(	Aqua: aOC(O)C(=O)O[O] -> aOC(O)C(=O)O + aHO2 + [aH2O]	Aqua: aO=C([O-])C(O)O[O] -> aHO2 + aOC(O)C(=O)[O-] + [aH	Aqua: aO=CC(O)[O] + aO2 -> aO=C(O)C=O + aHO2	other sources	Gas: O=C(O)C=O -> HO2 + HO2 + CO	Aqua: aOC(O)C(=O)[O-] + aHO -> aO=C([O-])[C](O)O + aO=C(	Gas: OH + O=C(O)C=O -> CO + HO2	Aqua: aOC(O)C(=O)[O-] + aNO3 -> aO=C([O-])[C](O)O + aO=C	other sinks
24.0278	7.27832E-14	3.48726E-14	3.54983E-17	6.02199E-15	1.34771E-14	3.55938E-15	1.1866E-14	0	-9.47093E-15	-1.37845E-20	-1.09913E-14	-6.56839E-15
24.1944	7.95063E-14	3.80549E-14	3.60361E-17	5.96606E-15	1.35471E-14	3.52298E-15	1.17945E-14	0	-9.70806E-15	-1.37932E-20	-1.12507E-14	-6.78317E-15
24.3611	8.39257E-14	4.01478E-14	3.67778E-17	5.91825E-15	1.36406E-14	3.49155E-15	1.17435E-14	0	-9.98334E-15	-1.38429E-20	-1.15225E-14	-7.04089E-15
24.5278	8.72457E-14	4.17206E-14	3.77168E-17	5.86949E-15	1.37285E-14	3.45949E-15	1.16988E-14	0	-1.02727E-14	-1.39358E-20	-1.18012E-14	-7.3106E-15
24.6944	8.99657E-14	4.30095E-14	3.88435E-17	5.81727E-15	1.3803E-14	3.42523E-15	1.16559E-14	0	-1.05671E-14	-1.4071E-20	-1.20844E-14	-7.58211E-15
24.8611	9.22975E-14	4.41147E-14	4.01463E-17	5.76121E-15	1.3863E-14	3.38854E-15	1.16132E-14	0	-1.0863E-14	-1.4235E-20	-1.23706E-14	-7.85145E-15
24.9444	9.33496E-14	4.46134E-14	4.086E-17	5.73177E-15	1.38878E-14	3.36931E-15	1.15918E-14	0	-1.10111E-14	-1.43297E-20	-1.25146E-14	-7.98469E-15
25.1111	5.96966E-16	4.00595E-16	4.88794E-17	5.81256E-16	4.45245E-16	3.00655E-16	5.86925E-15	0	-1.80661E-16	-2.7616E-16	-1.25677E-15	-4.45286E-15
25.1944	2.94722E-16	2.6311E-16	5.57225E-17	3.25848E-16	4.97496E-16	1.3632E-16	5.93753E-15	0	-1.76054E-16	-4.12366E-16	-1.3418E-15	-5.19851E-15
25.3611	5.57204E-17	1.5301E-16	6.46571E-17	1.3709E-16	4.4937E-16	2.4591E-17	6.32732E-15	0	-1.39743E-16	-4.36324E-16	-1.10645E-15	-6.3935E-15
25.5278	1.43088E-17	1.31846E-16	6.59734E-17	9.45405E-17	3.79515E-16	6.10586E-18	6.53998E-15	0	-1.17537E-16	-4.49682E-16	-8.91745E-16	-6.75018E-15
25.6944	8.67158E-18	1.28573E-16	6.37943E-17	8.22122E-17	3.31345E-16	3.65433E-18	6.73122E-15	0	-1.03804E-16	-4.60028E-16	-7.51176E-16	-6.99448E-15
25.8611	8.22133E-18	1.28199E-16	6.02506E-17	7.55789E-17	2.97915E-16	3.42466E-18	6.90384E-15	0	-9.51929E-17	-4.68387E-16	-6.5536E-16	-7.18911E-15
26.0278	8.4328E-18	1.28338E-16	5.63072E-17	7.10502E-17	2.7412E-16	3.48027E-18	7.05945E-15	0	-8.98147E-17	-4.7526E-16	-5.87812E-16	-7.34558E-15
26.1944	8.69173E-18	1.28641E-16	5.24088E-17	6.77575E-17	2.56895E-16	3.56093E-18	7.19923E-15	0	-8.66284E-17	-4.80935E-16	-5.39137E-16	-7.46881E-15
26.3611	8.92154E-18	1.29034E-16	4.87609E-17	6.5337E-17	2.44306E-16	3.63428E-18	7.32495E-15	0	-8.50068E-17	-4.85615E-16	-5.03563E-16	-7.56347E-15
26.5278	9.11862E-18	1.29488E-16	4.54517E-17	6.35628E-17	2.35083E-16	3.69781E-18	7.43834E-15	0	-8.45472E-17	-4.89463E-16	-4.77345E-16	-7.63389E-15
26.6944	9.28881E-18	1.29983E-16	4.25078E-17	6.22742E-17	2.28347E-16	3.75288E-18	7.54111E-15	0	-8.49753E-17	-4.92614E-16	-4.5794E-16	-7.68413E-15
26.8611	9.43639E-18	1.30508E-16	3.99229E-17	6.13523E-17	2.23474E-16	3.80191E-18	7.63478E-15	0	-8.60957E-17	-4.95187E-16	-4.43571E-16	-7.71787E-15
27.0278	9.56633E-18	1.3105E-16	3.76739E-17	6.07106E-17	2.2001E-16	3.84563E-18	7.72069E-15	0	-8.77635E-17	-4.97277E-16	-4.32967E-16	-7.73832E-15
27.1944	9.68257E-18	1.31604E-16	3.57297E-17	6.02816E-17	2.1762E-16	3.88489E-18	7.80001E-15	0	-8.98699E-17	-4.98968E-16	-4.25199E-16	-7.74821E-15
27.3611	9.78786E-18	1.32164E-16	3.40568E-17	6.0016E-17	2.1605E-16	3.92151E-18	7.87369E-15	0	-9.23292E-17	-5.00327E-16	-4.1958E-16	-7.74981E-15
27.5278	9.88522E-18	1.32724E-16	3.26219E-17	5.98755E-17	2.15111E-16	3.95578E-18	7.94255E-15	0	-9.50746E-17	-5.01408E-16	-4.15597E-16	-7.74499E-15
27.6944	9.97542E-18	1.33283E-16	3.1394E-17	5.98311E-17	2.14656E-16	3.98814E-18	8.00724E-15	0	-9.80527E-17	-5.02257E-16	-4.12865E-16	-7.73522E-15
27.8611	1.00612E-17	1.33838E-16	3.03449E-17	5.98603E-17	2.14575E-16	4.01948E-18	8.0683E-15	0	-1.01221E-16	-5.02908E-16	-4.11091E-16	-7.72172E-15
28.0278	1.01433E-17	1.34386E-16	2.94494E-17	5.99468E-17	2.14782E-16	4.04959E-18	8.12617E-15	0	-1.04545E-16	-5.03393E-16	-4.10053E-16	-7.70539E-15
28.1944	1.02225E-17	1.34926E-16	2.86855E-17	6.00768E-17	2.15212E-16	4.07899E-18	8.18121E-15	0	-1.07996E-16	-5.03734E-16	-4.09581E-16	-7.68699E-15
28.3611	1.02994E-17	1.35458E-16	2.80339E-17	6.024E-17	2.15814E-16	4.10769E-18	8.23372E-15	0	-1.11553E-16	-5.03952E-16	-4.09545E-16	-7.66705E-15
28.5278	1.03751E-17	1.35981E-16	2.74785E-17	6.04294E-17	2.16549E-16	4.13615E-18	8.28393E-15	0	-1.15195E-16	-5.04061E-16	-4.09845E-16	-7.64603E-15
28.6944	1.04495E-17	1.36495E-16	2.70048E-17	6.06383E-17	2.17385E-16	4.16422E-18	8.33205E-15	0	-1.18909E-16	-5.04076E-16	-4.10403E-16	-7.62425E-15
28.8611	1.05237E-17	1.36999E-16	2.66011E-17	6.08625E-17	2.183E-16	4.19221E-18	8.37825E-15	-6.82308E-24	-1.22681E-16	-5.04005E-16	-4.1116E-16	-7.60197E-15
29.0278	9.81272E-18	1.32898E-16	2.66577E-17	5.66349E-17	2.0339E-16	3.89581E-18	8.23306E-15	-3.28452E-16	-1.25872E-16	-5.0536E-16	-3.76303E-16	-6.98738E-15
29.1944	7.96258E-18	1.30344E-16	4.07277E-17	4.41473E-17	1.65859E-16	3.0669E-18	7.91824E-15	-3.58883E-15	-1.47516E-16	-5.7645E-16	-2.63226E-16	-5.43344E-15
29.3611	8.4937E-18	1.65243E-16	5.22254E-17	4.03606E-17	1.74355E-16	3.06243E-18	8.37514E-15	-9.3624E-15	-2.07797E-16	-8.46371E-16	-1.86559E-16	-5.45111E-15
29.5278	1.00443E-17	2.24841E-16	5.6167E-17	4.27837E-17	2.01669E-16	3.45026E-18	9.0721E-15	-1.57712E-14	-2.64782E-16	-1.24116E-15	-1.43062E-16	-6.20585E-15
29.6944	1.13199E-17	2.94317E-16	7.7265E-17	4.52795E-17	2.12623E-16	3.60193E-18	9.51566E-15	-2.19144E-14	-3.05637E-16	-1.67824E-15	-1.13199E-16	-6.41477E-15
29.8611	1.02848E-17	3.72986E-16	1.09238E-16	5.31481E-17	2.07373E-16	3.42522E-18	9.78267E-15	-2.74859E-14	-3.3281E-16	-2.20631E-15	-9.92836E-17	-6.02771E-15
30.0278	9.71902E-18	4.67654E-16	1.49956E-16	6.10678E-17	2.00146E-16	3.21837E-18	1.00735E-14	-3.24222E-14	-3.74219E-16	-2.8314E-15	-8.74491E-17	-5.50219E-15
30.1944	9.35474E-18	5.73768E-16	1.98963E-16	7.06067E-17	1.98522E-16	3.08121E-18	1.04728E-14	-3.67496E-14	-4.27964E-16	-3.53751E-15	-7.88849E-17	-5.08875E-15
30.3611	9.24479E-18	6.88398E-16	2.55891E-16	8.13666E-17	2.03005E-16	3.02813E-18	1.09729E-14	-4.05229E-14	-4.90813E-16	-4.3108E-15	-7.239E-17	-4.82244E-15
30.5278	9.35152E-18	8.09462E-16	3.20376E-16	9.30457E-17	2.12302E-16	3.04521E-18	1.15539E-14	-4.38025E-14	-5.60294E-16	-5.14065E-15	-6.72873E-17	-4.67952E-15
30.6944	9.63887E-18	9.35571E-16	3.92018E-16	1.05448E-16	2.25408E-16	3.12134E-18	1.22033E-14	-4.66451E-14	-6.35258E-16	-6.01812E-15	-6.31689E-17	-4.63498E-15
30.8611	1.00809E-17	1.06573E-15	4.70361E-16	1.1844E-16	2.41728E-16	3.24724E-18	1.29134E-14	-4.91016E-14	-7.15106E-16	-6.93501E-15	-5.97717E-17	-4.66971E-15
31.0278	1.06588E-17	1.19918E-15	5.54883E-16	1.3192E-16	2.60876E-16	3.41696E-18	1.36782E-14	-5.12164E-14	-7.99391E-16	-7.88326E-15	-5.69175E-17	-4.76898E-15
31.1944	1.1359E-17	1.33528E-15	6.44999E-16	1.4581E-16	2.84648E-16	3.62558E-18	1.44914E-14	-5.3028E-14	-8.87695E-16	-8.85481E-15	-5.44812E-17	-4.92248E-15
