Time	Sulfate(C2w)	Time	Sulfate(C2wo)	Time	Nitrate(C2w)	Time	Nitrate(C2wo)	Time	Ammonium(C2w)	Time	Ammonium(C2wo)	Time	Gly(C2w)	Time	Gly(C2wo)	Time	wC2(C2w)	Time	wC2(C2wo)	Time	C2(C2w)	Time	C2(C2wo)	Time	MGly(C2w)	Time	MGly(C2wo)	Time	Pyr(C2w)	Time	Pyr(C2wo)	Time	C3(C2w)	Time	C3(C2wo)
24.04194	24.21563	24.00417	8.75246	24.04194	15.62409	24.00417	12.97422	24.04194	12.91138	24.00417	5.9891	24.04194	320.87528	24.00417	0.22898	24.04194	240.13039	24.00417	67.91105	24.04194	115.07745	24.00417	108.54449	24.04194	40.49671	24.00417	0.00486	24.04194	23.63552	24.00417	14.52878	24.04194	158.35562	24.00417	85.44871
24.20861	24.30468	24.17083	8.75811	24.20861	15.7187	24.17083	13.03517	24.20861	12.97692	24.17083	6.00907	24.20861	318.7659	24.17083	0.23114	24.20861	246.66657	24.17083	68.23029	24.20861	114.45862	24.17083	107.88923	24.20861	40.82152	24.17083	0.00492	24.20861	24.1736	24.17083	14.45807	24.20861	158.24653	24.17083	85.54812
24.37528	24.39095	24.3375	8.76372	24.37528	15.81318	24.3375	13.09532	24.37528	13.04255	24.3375	6.02881	24.37528	316.34185	24.3375	0.23333	24.37528	253.59286	24.3375	68.5491	24.37528	113.88299	24.3375	107.25174	24.37528	41.14472	24.3375	0.00498	24.37528	24.70918	24.3375	14.39356	24.37528	158.13842	24.3375	85.6466
24.54194	24.47728	24.50417	8.76933	24.54194	15.90761	24.50417	13.15472	24.54194	13.10828	24.50417	6.04836	24.54194	313.69555	24.50417	0.23553	24.54194	260.77932	24.50417	68.86682	24.54194	113.35038	24.50417	106.63266	24.54194	41.46666	24.50417	0.00504	24.54194	25.24433	24.50417	14.335	24.54194	158.03141	24.50417	85.74373
24.70861	24.56489	24.67083	8.77495	24.70861	16.00197	24.67083	13.21344	24.70861	13.17422	24.67083	6.06767	24.70861	310.86966	24.67083	0.23775	24.70861	268.16001	24.67083	69.18408	24.70861	112.85949	24.67083	106.0308	24.70861	41.78697	24.67083	0.00509	24.70861	25.77915	24.67083	14.28221	24.70861	157.92487	24.67083	85.83911
24.87528	24.65405	24.8375	8.78057	24.87528	16.09615	24.8375	13.27147	24.87528	13.2403	24.8375	6.08677	24.87528	307.89396	24.8375	0.23999	24.87528	275.69364	24.8375	69.50021	24.87528	112.40962	24.8375	105.44621	24.87528	42.10621	24.8375	0.00515	24.87528	26.31433	24.8375	14.23491	24.87528	157.82026	24.8375	85.93376
24.95861	24.69907	25.00417	8.78615	24.95861	16.14333	25.00417	13.32895	24.95861	13.27344	25.00417	6.10573	24.95861	306.35376	25.00417	0.24225	24.95861	279.50953	25.00417	69.81561	24.95861	112.19967	25.00417	104.87809	24.95861	42.26546	25.00417	0.00521	24.95861	26.582	25.00417	14.19292	24.95861	157.76797	25.00417	86.02707
25.12528	24.75205	25.17083	8.79176	25.12528	15.7297	25.17083	13.38575	25.12528	12.60101	25.17083	6.12448	25.12528	48.06578	25.17083	0.24452	25.12528	200.80581	25.17083	70.13029	25.12528	114.33697	25.17083	104.32625	25.12528	0.01664	25.17083	0.00527	25.12528	25.86735	25.17083	14.15598	25.12528	124.38373	25.17083	86.11882
25.20861	24.75289	25.3375	8.79735	25.20861	15.27441	25.3375	13.44198	25.20861	12.45643	25.3375	6.14306	25.20861	17.53106	25.3375	0.24681	25.20861	171.97548	25.3375	70.44429	25.20861	114.33269	25.3375	103.79052	25.20861	0.00843	25.3375	0.00533	25.20861	24.77007	25.3375	14.12398	25.20861	111.08548	25.3375	86.21016
25.37528	24.76148	25.50417	8.80291	25.37528	14.95599	25.50417	13.49773	25.37528	12.19966	25.50417	6.16149	25.37528	2.5325	25.50417	0.24911	25.37528	167.32099	25.50417	70.75734	25.37528	114.39127	25.50417	103.2697	25.37528	0.00837	25.50417	0.00539	25.37528	24.39144	25.50417	14.09662	25.37528	105.79826	25.50417	86.29975
25.54194	24.76959	25.67083	8.80849	25.54194	14.67141	25.67083	13.55291	25.54194	11.96662	25.67083	6.17976	25.54194	0.58672	25.67083	0.25143	25.54194	164.99823	25.67083	71.06981	25.54194	114.42642	25.67083	102.76442	25.54194	0.00837	25.67083	0.00545	25.54194	24.33296	25.67083	14.07375	25.54194	102.56902	25.67083	86.38871
25.70861	24.77676	25.8375	8.81405	25.70861	14.41074	25.8375	13.60772	25.70861	11.76046	25.8375	6.19789	25.70861	0.33541	25.8375	0.25377	25.70861	163.36397	25.8375	71.3815	25.70861	114.46361	25.8375	102.27361	25.70861	0.00838	25.8375	0.00551	25.70861	24.32237	25.8375	14.05523	25.70861	100.32066	25.8375	86.47674
