C2	cloud	non-cloud	emission	Pyr	cloud	non-cloud	emission	wC2	cloud	non-cloud	emission
Alkanes	-0.08473	-0.04924	611000	Alkanes	-0.01933	-0.02621	611000	Alkanes	-0.05705	-0.04522	611000
Alkenes	0.08127	0.48365	783000	Alkenes	0.57396	0.55626	783000	Alkenes	-0.03932	0.26286	783000
Aromatics	0.16464	0.19011	253000	Aromatics	-0.01074	-0.03002	253000	Aromatics	0.17433	0.43668	253000
Ethane	-0.01225	-1.62E-04	130000	Ethane	-5.13E-04	-5.31E-04	130000	Ethane	-0.0108	-8.67E-04	130000
Ethene	-0.07515	0.03647	176000	Ethene	-0.0208	-0.00802	176000	Ethene	-0.16974	-0.00305	176000
Isoprene	0.23303	0.40613	405000	Isoprene	0.65504	0.63522	405000	Isoprene	0.26788	0.28162	405000
1,3-Butadiene	0.13637	0.01106	9640	1,3-Butadiene	-0.01275	-0.0037	9640	1,3-Butadiene	0.329	0.0143	9640
Toluene	0.03826	0.12116	139000	Toluene	-0.01945	-0.02532	139000	Toluene	-0.00586	0.35061	139000
Xylene	-0.02821	0.02323	41500	Xylene	0.01846	0.0149	41500	Xylene	-0.08424	0.00771	41500
Ethyl-Benzene	-0.04851	0.01732	18600	Ethyl-Benzene	-0.00274	-0.00485	18600	Ethyl-Benzene	-0.10908	0.05221	18600
Isopropyl-Benzene	-0.0592	0.01532	3720	Isopropyl-Benzene	-0.003	-0.0037	3720	Isopropyl-Benzene	-0.1186	0.04755	3720
