C2-RIR	OH(cloud)	C2-RIR	SOx-(cloud)	C2-RIR	OH(non-cloud)	wC2-RIR	OH(cloud)	wC2-RIR	SOx-(cloud)	wC2-RIR	OH(non-cloud)
-0.08473	-0.08217	-0.08473	0.2111	-0.04924	-0.66255	-0.05705	-0.08217	-0.05705	0.2111	-0.04522	-0.66255
0.08127	2.71172	0.08127	0.34094	0.48365	7.59445	-0.03932	9.71172	-0.03932	-10.14094	0.26286	7.59445
0.16464	2.25706	0.16464	3.01388	0.19011	1.37951	0.17433	12.8846	0.17433	-3.01388	0.43668	9.37951
-0.01225	-0.41022	-0.01225	-0.56767	-1.62E-04	0.00636	-0.0108	-0.41022	-0.0108	-0.56767	-8.67E-04	0.00636
-0.07515	0.89666	-0.07515	-2.34114	0.03647	0.92803	-0.16974	0.89666	-0.16974	-2.34114	-0.00305	0.92803
0.23303	6.9874	0.23303	14.79816	0.40613	5.32095	0.26788	7.2874	0.26788	14.79816	0.28162	5.32095
0.13637	0.39603	0.13637	23.74612	0.01106	0.0579	0.329	*	0.329	23.74612	0.0143	0.0579
0.03826	0.80095	0.03826	-2.66273	0.12116	0.36697	-0.00586	0.80095	-0.00586	-2.66273	0.35061	4.36697
-0.02821	0.46443	-0.02821	-1.41482	0.02323	0.41096	-0.08424	0.46443	-0.08424	-1.41482	0.00771	0.41096
-0.04851	0.20884	-0.04851	-0.95569	0.01732	0.02742	-0.10908	0.20884	-0.10908	-0.95569	0.05221	0.02742
-0.0592	-0.1351	-0.0592	-1.03075	0.01532	0.02887	-0.1186	-0.1351	-0.1186	-1.03075	0.04755	0.02887
